binary,metric,value,config
gcc_s,system.l3.tags.avgOccs::l2.prefetcher,0.032969,nextline
gcc_s,system.l3.tags.avgOccs::l3.prefetcher,0.849848,nextline
gcc_s,system.mem_ctrls.avgPriority_cpu.dcache.prefetcher::samples,7696.00,nextline
gcc_s,system.mem_ctrls.avgPriority_cpu.icache.prefetcher::samples,33.00,nextline
gcc_s,system.mem_ctrls.avgPriority_l2.prefetcher::samples,8995.00,nextline
gcc_s,system.mem_ctrls.avgPriority_l3.prefetcher::samples,247411.00,nextline
gcc_s,system.mem_ctrls.requestorReadBytes::cpu.dcache.prefetcher,492544,nextline
gcc_s,system.mem_ctrls.requestorReadBytes::cpu.icache.prefetcher,2112,nextline
gcc_s,system.mem_ctrls.requestorReadBytes::l2.prefetcher,575680,nextline
gcc_s,system.mem_ctrls.requestorReadBytes::l3.prefetcher,15834304,nextline
gcc_s,system.mem_ctrls.requestorReadRate::cpu.dcache.prefetcher,124057684.176478743553,nextline
gcc_s,system.mem_ctrls.requestorReadRate::cpu.icache.prefetcher,531952.128095607855,nextline
gcc_s,system.mem_ctrls.requestorReadRate::l2.prefetcher,144997254.309696763754,nextline
gcc_s,system.mem_ctrls.requestorReadRate::l3.prefetcher,3988206301.947346687317,nextline
gcc_s,system.mem_ctrls.requestorReadAccesses::cpu.dcache.prefetcher,7696,nextline
gcc_s,system.mem_ctrls.requestorReadAccesses::cpu.icache.prefetcher,33,nextline
gcc_s,system.mem_ctrls.requestorReadAccesses::l2.prefetcher,8995,nextline
gcc_s,system.mem_ctrls.requestorReadAccesses::l3.prefetcher,247413,nextline
gcc_s,system.mem_ctrls.requestorReadTotalLat::cpu.dcache.prefetcher,297522405,nextline
gcc_s,system.mem_ctrls.requestorReadTotalLat::cpu.icache.prefetcher,1832416,nextline
gcc_s,system.mem_ctrls.requestorReadTotalLat::l2.prefetcher,321933563,nextline
gcc_s,system.mem_ctrls.requestorReadTotalLat::l3.prefetcher,6471479978,nextline
gcc_s,system.mem_ctrls.requestorReadAvgLat::cpu.dcache.prefetcher,38659.36,nextline
gcc_s,system.mem_ctrls.requestorReadAvgLat::cpu.icache.prefetcher,55527.76,nextline
gcc_s,system.mem_ctrls.requestorReadAvgLat::l2.prefetcher,35790.28,nextline
gcc_s,system.mem_ctrls.requestorReadAvgLat::l3.prefetcher,26156.59,nextline
gcc_s,system.mem_ctrls.dram.bytesRead::cpu.dcache.prefetcher,492544,nextline
gcc_s,system.mem_ctrls.dram.bytesRead::cpu.icache.prefetcher,2112,nextline
gcc_s,system.mem_ctrls.dram.bytesRead::l2.prefetcher,575680,nextline
gcc_s,system.mem_ctrls.dram.bytesRead::l3.prefetcher,15834176,nextline
gcc_s,system.mem_ctrls.dram.numReads::cpu.dcache.prefetcher,7696,nextline
gcc_s,system.mem_ctrls.dram.numReads::cpu.icache.prefetcher,33,nextline
gcc_s,system.mem_ctrls.dram.numReads::l2.prefetcher,8995,nextline
gcc_s,system.mem_ctrls.dram.numReads::l3.prefetcher,247409,nextline
gcc_s,system.mem_ctrls.dram.bwRead::cpu.dcache.prefetcher,124057684,nextline
gcc_s,system.mem_ctrls.dram.bwRead::cpu.icache.prefetcher,531952,nextline
gcc_s,system.mem_ctrls.dram.bwRead::l2.prefetcher,144997254,nextline
gcc_s,system.mem_ctrls.dram.bwRead::l3.prefetcher,3988174062,nextline
gcc_s,system.mem_ctrls.dram.bwTotal::cpu.dcache.prefetcher,124057684,nextline
gcc_s,system.mem_ctrls.dram.bwTotal::cpu.icache.prefetcher,531952,nextline
gcc_s,system.mem_ctrls.dram.bwTotal::l2.prefetcher,144997254,nextline
gcc_s,system.mem_ctrls.dram.bwTotal::l3.prefetcher,3988174062,nextline
exchange2_s,system.cpu.dcache.overallMshrMisses::cpu.dcache.prefetcher,166,nextline
exchange2_s,system.cpu.dcache.overallMshrMissLatency::cpu.dcache.prefetcher,7854121,nextline
exchange2_s,system.cpu.dcache.overallMshrMissRate::cpu.dcache.prefetcher,inf,nextline
